id;description;amount;timestamp;merchant;operation_type;side
34;"Invoice from Auchan";-1416,83;"2023-07-09 20:36:54";"Auchan";"direct_debit";"debit"
35;"Outgoing transfer";-1187,82;"2023-04-02 04:32:44";"Deliveroo";"payment";"debit"
36;"Refund from Lidl";-1570,98;"2024-01-05 06:25:43";"Lidl";"transfer";"debit"
37;"Online payment";-1842,82;"2024-01-12 18:29:14";"Carrefour";"direct_debit";"debit"
38;"Receipt from Orange";2458,35;"2023-06-26 12:03:06";"Orange";"payment";"credit"
39;"Card expense at SFR";-225,07;"2024-02-07 08:43:25";"SFR";"transfer";"debit"
40;"Subscription to Transilien";-363,24;"2024-02-27 12:40:32";"Transilien";"transfer";"debit"
41;"Subscription to Auchan";-6,72;"2023-12-23 03:20:06";"Auchan";"transfer";"debit"
42;"Invoice from Carrefour";-1465,72;"2023-05-21 13:57:46";"Carrefour";"transfer";"debit"
43;"Outgoing transfer";-1134,66;"2023-07-23 04:22:41";"EDF";"direct_debit";"debit"
44;"Card expense at RATP";-1920,75;"2023-10-20 23:23:10";"RATP";"direct_debit";"debit"
45;"Receipt from Amazon.fr";-1160,47;"2023-10-03 00:41:36";"Amazon.fr";"direct_debit";"debit"
46;"Card expense at Fnac";-1791,28;"2023-04-20 01:29:38";"Fnac";"transfer";"debit"
47;"Outgoing transfer";-2,30;"2024-04-10 15:16:20";"Veolia";"refund";"debit"
48;"Receipt from Carrefour";-1682,74;"2024-03-31 12:59:19";"Carrefour";"refund";"debit"
49;"Subscription to EDF";-1289,62;"2023-06-07 14:29:22";"EDF";"refund";"debit"
50;"Subscription to Intermarche";-1740,97;"2023-09-15 19:22:11";"Intermarche";"refund";"debit"
51;"Invoice from Fnac";-572,28;"2023-05-13 09:56:00";"Fnac";"refund";"debit"
52;"Subscription to Leclerc";-720,66;"2023-06-03 20:40:26";"Leclerc";"transfer";"debit"
53;"Invoice from Air France";4772,27;"2023-12-15 15:33:40";"Air France";"refund";"credit"
54;"Refund from SNCF";-766,43;"2023-03-04 10:24:06";"SNCF";"direct_debit";"debit"
55;"Purchase at RATP";-1221,09;"2023-02-03 18:23:16";"RATP";"transfer";"debit"
56;"Outgoing transfer";-1890,04;"2023-02-17 23:21:34";"SNCF";"payment";"debit"
57;"Receipt from Uber";833,58;"2023-02-05 15:38:49";"Uber";"refund";"credit"
58;"Online payment";2499,24;"2023-08-15 08:27:47";"Bouygues";"refund";"credit"
59;"Purchase at TotalEnergies";-1392,82;"2024-01-11 22:46:04";"TotalEnergies";"direct_debit";"debit"
60;"Incoming transfer";-1554,95;"2023-10-08 12:34:44";"Veolia";"direct_debit";"debit"
61;"Invoice from Monoprix";1030,01;"2023-06-29 14:06:34";"Monoprix";"refund";"credit"
62;"Subscription to Systeme U";-780,25;"2023-07-29 16:58:49";"Systeme U";"transfer";"debit"
63;"Invoice from Darty";106,17;"2023-02-20 08:16:05";"Darty";"transfer";"credit"
64;"Receipt from Franprix";-1121,16;"2023-02-16 07:27:22";"Franprix";"refund";"debit"
65;"Purchase at Lidl";-1215,27;"2023-12-10 23:50:09";"Lidl";"direct_debit";"debit"
66;"Card expense at Auchan";4498,97;"2024-03-04 04:22:22";"Auchan";"payment";"credit"
67;"Purchase at Orange";-177,73;"2023-09-29 08:13:08";"Orange";"transfer";"debit"
68;"Invoice from Carrefour";-200,33;"2024-01-30 02:24:09";"Carrefour";"payment";"debit"
69;"Invoice from RATP";4056,74;"2023-09-13 11:43:01";"RATP";"payment";"credit"
70;"Refund from Leclerc";-1749,03;"2023-02-08 01:15:44";"Leclerc";"refund";"debit"
71;"Direct debit";-1126,89;"2024-03-20 18:37:37";"TotalEnergies";"transfer";"debit"
72;"Refund from Orange";-604,02;"2023-01-16 08:40:26";"Orange";"payment";"debit"
73;"Receipt from TotalEnergies";2059,59;"2023-09-22 14:33:14";"TotalEnergies";"refund";"credit"
74;"Online payment";3986,77;"2023-09-30 08:03:29";"Intermarche";"refund";"credit"
75;"Card expense at Air France";2816,05;"2023-10-13 00:54:31";"Air France";"transfer";"credit"
76;"Receipt from Intermarche";4704,70;"2023-05-16 14:08:23";"Intermarche";"direct_debit";"credit"
77;"Subscription to Carrefour";-1219,19;"2024-03-05 06:46:10";"Carrefour";"direct_debit";"debit"
78;"Purchase at Deliveroo";2572,99;"2023-11-27 00:30:36";"Deliveroo";"payment";"credit"
79;"Direct debit";2398,32;"2023-12-19 02:43:59";"Carrefour";"direct_debit";"credit"
80;"Invoice from Deliveroo";-223,40;"2024-04-15 08:22:52";"Deliveroo";"transfer";"debit"
81;"Outgoing transfer";-906,66;"2023-03-23 07:44:56";"TotalEnergies";"direct_debit";"debit"
82;"Online payment";-1371,55;"2024-03-02 14:06:40";"Auchan";"transfer";"debit"
83;"Direct debit";1947,48;"2023-07-29 03:13:46";"Monoprix";"payment";"credit"
84;"Outgoing transfer";-1894,65;"2023-04-23 15:55:51";"RATP";"direct_debit";"debit"
85;"Outgoing transfer";3992,54;"2023-07-30 05:00:23";"Amazon.fr";"payment";"credit"
86;"Direct debit";-1151,44;"2023-08-05 04:25:49";"SFR";"direct_debit";"debit"
87;"Receipt from TotalEnergies";179,29;"2023-10-09 08:51:24";"TotalEnergies";"transfer";"credit"
88;"Outgoing transfer";-1622,75;"2023-05-22 11:21:51";"RATP";"transfer";"debit"
89;"Direct debit";1792,59;"2023-06-19 16:01:55";"Monoprix";"refund";"credit"
90;"Invoice from Fnac";-1244,13;"2023-10-08 00:26:51";"Fnac";"transfer";"debit"
91;"Subscription to Darty";3495,42;"2023-05-04 20:53:41";"Darty";"direct_debit";"credit"
92;"Outgoing transfer";-406,69;"2023-11-03 23:08:08";"SNCF";"payment";"debit"
93;"Receipt from Veolia";-1125,95;"2023-01-20 08:25:28";"Veolia";"refund";"debit"
94;"Direct debit";-453,43;"2023-02-13 14:31:41";"SFR";"payment";"debit"
95;"Receipt from La Poste";-588,53;"2023-09-05 02:11:45";"La Poste";"refund";"debit"
96;"Receipt from La Poste";-1989,91;"2024-02-26 19:08:23";"La Poste";"direct_debit";"debit"
97;"Subscription to Monoprix";3853,28;"2024-02-22 20:01:27";"Monoprix";"transfer";"credit"
98;"Incoming transfer";-1811,54;"2024-02-01 14:47:31";"Uber";"transfer";"debit"
99;"Invoice from La Poste";-931,47;"2023-12-20 03:36:20";"La Poste";"direct_debit";"debit"
100;"Card expense at SNCF";-573,05;"2023-07-10 14:50:58";"SNCF";"refund";"debit"
101;"Incoming transfer";3100,88;"2023-08-10 22:42:30";"Deliveroo";"refund";"credit"
102;"Purchase at Franprix";-1332,91;"2024-02-20 23:37:07";"Franprix";"transfer";"debit"
103;"Card expense at Monoprix";-1428,66;"2023-12-28 13:24:55";"Monoprix";"payment";"debit"
104;"Direct debit";4475,15;"2023-12-14 13:25:06";"Transilien";"direct_debit";"credit"
105;"Incoming transfer";-707,89;"2023-06-13 04:02:53";"TotalEnergies";"transfer";"debit"
106;"Purchase at Uber";-1032,75;"2024-02-22 10:02:58";"Uber";"transfer";"debit"
107;"Receipt from Systeme U";-174,28;"2024-04-13 07:22:16";"Systeme U";"refund";"debit"
108;"Invoice from Lidl";2083,79;"2023-10-26 00:36:22";"Lidl";"payment";"credit"
109;"Card expense at Leclerc";-375,76;"2023-07-09 16:31:33";"Leclerc";"transfer";"debit"
110;"Online payment";-879,39;"2023-10-07 13:05:47";"Systeme U";"transfer";"debit"
111;"Incoming transfer";2428,85;"2023-09-27 13:40:30";"Franprix";"direct_debit";"credit"
112;"Direct debit";-270,49;"2024-03-05 23:42:53";"Intermarche";"direct_debit";"debit"
113;"Invoice from TotalEnergies";4969,83;"2023-10-22 13:19:40";"TotalEnergies";"transfer";"credit"
114;"Purchase at Lidl";885,87;"2023-05-30 16:20:26";"Lidl";"direct_debit";"credit"
115;"Refund from SFR";-1305,50;"2023-10-13 08:13:00";"SFR";"refund";"debit"
116;"Refund from Veolia";-1214,60;"2023-02-09 06:34:47";"Veolia";"direct_debit";"debit"
117;"Online payment";949,44;"2023-06-12 01:31:22";"Leclerc";"direct_debit";"credit"
118;"Receipt from Deliveroo";3546,77;"2024-01-23 04:07:13";"Deliveroo";"refund";"credit"
119;"Online payment";3170,66;"2023-10-12 02:42:51";"Amazon.fr";"direct_debit";"credit"
120;"Purchase at Amazon.fr";2395,28;"2024-02-25 03:30:27";"Amazon.fr";"payment";"credit"
121;"Purchase at Leclerc";-985,65;"2023-06-19 01:55:25";"Leclerc";"transfer";"debit"
122;"Receipt from TotalEnergies";-938,77;"2024-01-19 23:12:41";"TotalEnergies";"payment";"debit"
123;"Outgoing transfer";4032,53;"2023-01-19 16:31:58";"Orange";"refund";"credit"
124;"Receipt from Auchan";3083,25;"2023-05-25 18:33:30";"Auchan";"payment";"credit"
125;"Refund from Fnac";-649,00;"2024-01-15 07:39:40";"Fnac";"refund";"debit"
126;"Outgoing transfer";-462,12;"2023-02-21 13:11:06";"Leclerc";"transfer";"debit"
127;"Purchase at Franprix";-1076,57;"2023-04-08 23:12:18";"Franprix";"direct_debit";"debit"
128;"Card expense at Orange";4205,66;"2023-07-17 07:56:52";"Orange";"transfer";"credit"
129;"Card expense at Uber";-259,63;"2024-01-28 06:31:05";"Uber";"direct_debit";"debit"
130;"Card expense at Transilien";3498,92;"2023-07-22 17:23:53";"Transilien";"direct_debit";"credit"
131;"Refund from Lidl";-1356,20;"2023-04-04 10:13:03";"Lidl";"transfer";"debit"
132;"Direct debit";-192,30;"2023-01-12 12:07:59";"La Poste";"payment";"debit"
133;"Card expense at Monoprix";-1930,19;"2023-12-06 01:23:52";"Monoprix";"payment";"debit"
134;"Invoice from Lidl";-1017,94;"2023-07-22 19:14:15";"Lidl";"payment";"debit"
135;"Invoice from SNCF";-694,74;"2023-02-08 00:50:53";"SNCF";"direct_debit";"debit"
136;"Incoming transfer";-1736,48;"2023-06-12 09:25:23";"Amazon.fr";"payment";"debit"
137;"Incoming transfer";-1406,45;"2023-04-11 09:49:30";"Deliveroo";"payment";"debit"
138;"Invoice from Air France";53,40;"2023-11-02 11:15:59";"Air France";"payment";"credit"
139;"Online payment";-545,42;"2023-01-30 23:41:56";"Lidl";"transfer";"debit"
140;"Purchase at EDF";-251,32;"2023-09-04 16:10:58";"EDF";"payment";"debit"
141;"Refund from Monoprix";-1520,61;"2024-02-24 20:11:24";"Monoprix";"transfer";"debit"
142;"Refund from Uber";1956,18;"2024-04-09 15:01:34";"Uber";"direct_debit";"credit"
143;"Invoice from SNCF";3006,73;"2024-01-15 20:55:47";"SNCF";"refund";"credit"
144;"Subscription to Intermarche";-100,87;"2023-03-06 16:27:32";"Intermarche";"transfer";"debit"
145;"Direct debit";-1381,36;"2023-11-18 22:40:20";"Franprix";"direct_debit";"debit"
146;"Incoming transfer";-48,95;"2023-07-18 03:27:36";"Lidl";"payment";"debit"
147;"Purchase at Darty";-1418,56;"2023-07-13 01:43:12";"Darty";"transfer";"debit"
148;"Card expense at Monoprix";-194,75;"2023-10-06 14:11:54";"Monoprix";"payment";"debit"
149;"Online payment";-469,59;"2023-11-11 01:39:02";"Bouygues";"transfer";"debit"
150;"Refund from SFR";-1321,82;"2023-11-27 17:29:29";"SFR";"direct_debit";"debit"
151;"Subscription to Transilien";-735,84;"2024-01-05 20:05:25";"Transilien";"refund";"debit"
152;"Purchase at Veolia";4643,15;"2024-01-10 10:46:50";"Veolia";"direct_debit";"credit"
153;"Subscription to Monoprix";743,43;"2023-03-15 00:53:38";"Monoprix";"direct_debit";"credit"
154;"Outgoing transfer";-1163,54;"2023-04-06 01:19:54";"Fnac";"refund";"debit"
155;"Receipt from Fnac";897,80;"2024-02-10 03:13:27";"Fnac";"payment";"credit"
156;"Incoming transfer";3387,86;"2023-09-22 02:58:46";"Bouygues";"refund";"credit"
157;"Refund from Carrefour";-862,21;"2023-12-16 17:13:22";"Carrefour";"direct_debit";"debit"
158;"Invoice from Carrefour";-232,51;"2023-12-27 06:55:47";"Carrefour";"direct_debit";"debit"
159;"Direct debit";-1348,72;"2023-04-21 18:45:42";"Franprix";"payment";"debit"
160;"Incoming transfer";-1159,65;"2024-02-22 11:03:44";"TotalEnergies";"payment";"debit"
161;"Purchase at Deliveroo";-1547,54;"2023-10-07 22:20:43";"Deliveroo";"transfer";"debit"
162;"Online payment";-736,35;"2023-02-08 13:31:20";"Darty";"refund";"debit"
163;"Online payment";-427,98;"2024-04-11 08:51:24";"Bouygues";"payment";"debit"
164;"Purchase at Darty";-864,00;"2024-01-17 15:55:13";"Darty";"payment";"debit"
165;"Refund from Leclerc";-77,91;"2023-03-24 15:14:05";"Leclerc";"refund";"debit"
166;"Subscription to Darty";-1097,47;"2023-05-04 21:12:48";"Darty";"transfer";"debit"
167;"Purchase at Intermarche";262,36;"2024-03-22 01:42:46";"Intermarche";"payment";"credit"
168;"Receipt from La Poste";-1390,73;"2023-05-13 09:31:58";"La Poste";"transfer";"debit"
169;"Incoming transfer";-539,04;"2023-12-21 05:48:05";"Veolia";"direct_debit";"debit"
170;"Invoice from Franprix";-1388,92;"2023-11-17 07:19:15";"Franprix";"direct_debit";"debit"
171;"Invoice from TotalEnergies";-1882,85;"2023-04-12 15:40:22";"TotalEnergies";"refund";"debit"
172;"Subscription to Uber";-324,79;"2023-08-11 17:52:34";"Uber";"refund";"debit"
173;"Card expense at Darty";2689,78;"2023-02-21 16:08:17";"Darty";"direct_debit";"credit"
174;"Card expense at Transilien";-60,14;"2024-03-08 03:48:40";"Transilien";"transfer";"debit"
175;"Subscription to Bouygues";-1916,64;"2024-04-10 01:53:52";"Bouygues";"payment";"debit"
176;"Refund from Transilien";-476,91;"2024-03-20 00:19:36";"Transilien";"refund";"debit"
177;"Incoming transfer";4648,81;"2024-03-29 22:14:21";"Darty";"refund";"credit"
178;"Direct debit";-1370,35;"2023-02-13 12:59:22";"Orange";"direct_debit";"debit"
179;"Outgoing transfer";2123,41;"2023-11-28 22:01:50";"EDF";"payment";"credit"
180;"Subscription to La Poste";-787,88;"2023-11-03 22:53:50";"La Poste";"payment";"debit"
181;"Refund from Transilien";-1774,01;"2023-09-28 01:57:13";"Transilien";"payment";"debit"
182;"Incoming transfer";-975,55;"2023-07-23 20:22:18";"Veolia";"transfer";"debit"
183;"Purchase at Fnac";-1550,95;"2023-12-09 02:48:06";"Fnac";"transfer";"debit"
184;"Subscription to Veolia";3426,80;"2024-03-13 12:43:08";"Veolia";"refund";"credit"
185;"Online payment";-1245,15;"2023-12-08 17:07:23";"Intermarche";"direct_debit";"debit"
186;"Incoming transfer";2202,72;"2023-07-13 08:55:55";"Auchan";"transfer";"credit"
187;"Receipt from La Poste";-867,89;"2024-03-20 17:38:42";"La Poste";"refund";"debit"
188;"Subscription to Fnac";-302,04;"2023-09-24 18:30:00";"Fnac";"direct_debit";"debit"
189;"Online payment";-1969,24;"2023-09-24 12:06:50";"Lidl";"transfer";"debit"
190;"Subscription to Auchan";-1114,86;"2024-04-22 10:19:56";"Auchan";"payment";"debit"
191;"Refund from Bouygues";-1157,70;"2023-02-09 17:21:43";"Bouygues";"direct_debit";"debit"
192;"Refund from Amazon.fr";3022,60;"2023-09-29 19:38:04";"Amazon.fr";"payment";"credit"
193;"Direct debit";-1633,29;"2023-08-02 08:13:18";"Carrefour";"refund";"debit"
194;"Card expense at Darty";-258,13;"2024-03-07 16:57:08";"Darty";"payment";"debit"
195;"Incoming transfer";-285,69;"2023-09-19 19:57:11";"SNCF";"transfer";"debit"
196;"Incoming transfer";796,24;"2023-03-09 13:39:08";"Intermarche";"direct_debit";"credit"
197;"Incoming transfer";-565,57;"2023-05-11 12:12:27";"Monoprix";"direct_debit";"debit"
198;"Card expense at Veolia";2979,08;"2023-02-02 08:11:54";"Veolia";"transfer";"credit"
199;"Subscription to Lidl";1098,64;"2023-07-12 20:11:46";"Lidl";"transfer";"credit"
200;"Subscription to Carrefour";-741,16;"2023-07-26 06:32:51";"Carrefour";"direct_debit";"debit"
201;"Incoming transfer";4007,37;"2023-09-24 13:13:57";"Darty";"transfer";"credit"
202;"Incoming transfer";-1466,14;"2023-05-05 13:45:40";"SFR";"refund";"debit"
203;"Purchase at Carrefour";3113,00;"2023-11-09 23:37:34";"Carrefour";"payment";"credit"
204;"Incoming transfer";-1632,77;"2024-04-21 22:51:52";"SNCF";"transfer";"debit"
205;"Subscription to Leclerc";4620,82;"2024-04-14 22:37:28";"Leclerc";"refund";"credit"
206;"Incoming transfer";-1696,41;"2023-03-20 14:21:24";"Bouygues";"direct_debit";"debit"
207;"Subscription to Deliveroo";-964,16;"2023-04-12 20:36:56";"Deliveroo";"transfer";"debit"
208;"Refund from Bouygues";1570,07;"2023-06-17 01:01:13";"Bouygues";"payment";"credit"
209;"Invoice from Deliveroo";3632,96;"2023-05-16 18:28:44";"Deliveroo";"transfer";"credit"
210;"Purchase at SFR";-1387,97;"2024-04-08 12:42:49";"SFR";"payment";"debit"
211;"Refund from La Poste";-1202,01;"2023-08-08 21:18:45";"La Poste";"direct_debit";"debit"
212;"Direct debit";-779,96;"2023-10-25 11:39:09";"Uber";"direct_debit";"debit"
213;"Invoice from EDF";4071,93;"2023-09-23 22:07:51";"EDF";"transfer";"credit"
214;"Receipt from Darty";3333,84;"2023-05-07 14:20:28";"Darty";"refund";"credit"
215;"Subscription to Orange";3014,97;"2023-06-26 03:54:08";"Orange";"payment";"credit"
216;"Receipt from Veolia";-1684,55;"2023-12-28 01:13:32";"Veolia";"payment";"debit"
217;"Invoice from Orange";-1720,93;"2023-07-14 16:04:55";"Orange";"transfer";"debit"
218;"Receipt from Auchan";-1868,69;"2023-07-23 01:25:51";"Auchan";"payment";"debit"
219;"Purchase at Transilien";2791,00;"2024-02-19 18:51:21";"Transilien";"direct_debit";"credit"
220;"Card expense at RATP";-1751,09;"2024-02-02 10:25:53";"RATP";"direct_debit";"debit"
221;"Direct debit";2064,09;"2023-07-20 11:59:36";"Fnac";"transfer";"credit"
222;"Online payment";-729,86;"2023-04-26 06:17:03";"Deliveroo";"payment";"debit"
223;"Outgoing transfer";-1160,45;"2023-08-31 11:39:31";"RATP";"transfer";"debit"
224;"Refund from EDF";3665,32;"2023-03-12 08:51:32";"EDF";"direct_debit";"credit"
225;"Purchase at SNCF";1052,63;"2023-03-21 20:01:45";"SNCF";"refund";"credit"
226;"Invoice from Systeme U";-284,30;"2023-06-06 13:11:37";"Systeme U";"refund";"debit"
227;"Card expense at Deliveroo";-219,34;"2023-02-27 21:22:35";"Deliveroo";"refund";"debit"
228;"Subscription to Lidl";1436,02;"2024-04-05 20:12:49";"Lidl";"transfer";"credit"
229;"Subscription to Fnac";-1991,69;"2023-12-02 13:15:36";"Fnac";"refund";"debit"
230;"Online payment";-1535,46;"2023-03-04 08:06:12";"Systeme U";"payment";"debit"
231;"Receipt from Deliveroo";-572,74;"2023-03-02 15:42:22";"Deliveroo";"transfer";"debit"
232;"Online payment";-1433,14;"2023-03-28 11:27:50";"Amazon.fr";"direct_debit";"debit"
233;"Purchase at Leclerc";-1885,42;"2023-11-10 15:04:48";"Leclerc";"transfer";"debit"
234;"Subscription to Carrefour";-990,71;"2023-11-19 14:14:24";"Carrefour";"payment";"debit"
235;"Purchase at Orange";-230,92;"2023-09-01 16:52:11";"Orange";"refund";"debit"
236;"Purchase at Fnac";-724,47;"2023-07-11 10:09:00";"Fnac";"transfer";"debit"
237;"Direct debit";-1111,79;"2023-04-09 05:46:54";"SNCF";"transfer";"debit"
238;"Subscription to Bouygues";-1019,60;"2024-02-22 09:31:57";"Bouygues";"direct_debit";"debit"
239;"Purchase at Fnac";3506,32;"2024-01-26 01:02:20";"Fnac";"refund";"credit"
240;"Purchase at Lidl";1098,55;"2023-01-01 20:39:19";"Lidl";"payment";"credit"
241;"Receipt from RATP";-1083,59;"2023-10-31 16:24:28";"RATP";"payment";"debit"
242;"Purchase at Darty";-1091,21;"2024-03-11 15:48:50";"Darty";"transfer";"debit"
243;"Direct debit";332,35;"2023-08-08 06:28:11";"Carrefour";"refund";"credit"
244;"Incoming transfer";-1847,61;"2023-09-23 22:03:43";"SNCF";"direct_debit";"debit"
245;"Purchase at SFR";-986,42;"2023-11-13 14:03:39";"SFR";"transfer";"debit"
246;"Outgoing transfer";-1210,68;"2023-04-05 16:30:18";"SNCF";"payment";"debit"
247;"Online payment";4437,92;"2023-01-22 12:48:49";"SNCF";"direct_debit";"credit"
248;"Online payment";-491,42;"2023-01-17 20:10:56";"Leclerc";"direct_debit";"debit"
249;"Outgoing transfer";-560,36;"2024-02-05 00:13:19";"La Poste";"transfer";"debit"
250;"Invoice from Leclerc";375,58;"2024-04-15 02:37:29";"Leclerc";"refund";"credit"
251;"Outgoing transfer";-546,38;"2024-04-17 19:53:17";"EDF";"refund";"debit"
252;"Refund from Systeme U";271,36;"2023-05-19 21:58:32";"Systeme U";"transfer";"credit"
253;"Card expense at Fnac";-953,03;"2023-01-06 21:17:45";"Fnac";"refund";"debit"
254;"Online payment";1947,74;"2024-02-11 03:57:38";"Amazon.fr";"transfer";"credit"
255;"Invoice from Fnac";-1329,84;"2023-04-06 10:22:35";"Fnac";"transfer";"debit"
256;"Incoming transfer";-57,94;"2024-02-24 11:59:35";"Uber";"transfer";"debit"
257;"Online payment";1085,78;"2023-10-01 12:25:47";"SFR";"refund";"credit"
258;"Online payment";-1457,54;"2023-02-08 06:30:00";"RATP";"transfer";"debit"
259;"Card expense at Leclerc";-1612,36;"2023-10-16 00:58:35";"Leclerc";"direct_debit";"debit"
260;"Receipt from Fnac";-734,12;"2024-01-20 07:55:42";"Fnac";"refund";"debit"
261;"Invoice from Uber";-679,07;"2023-01-28 14:54:02";"Uber";"transfer";"debit"
262;"Receipt from Monoprix";-533,73;"2023-01-16 09:32:34";"Monoprix";"transfer";"debit"
263;"Direct debit";1580,75;"2023-06-14 16:11:19";"Veolia";"direct_debit";"credit"
264;"Direct debit";-1563,08;"2023-04-23 08:11:41";"Amazon.fr";"refund";"debit"
265;"Direct debit";-388,02;"2024-04-06 03:19:48";"Transilien";"payment";"debit"
266;"Refund from Orange";-1970,06;"2024-01-16 17:49:25";"Orange";"direct_debit";"debit"
267;"Receipt from Systeme U";-1284,35;"2023-04-12 09:13:00";"Systeme U";"refund";"debit"
268;"Card expense at Franprix";3344,73;"2023-12-15 12:34:37";"Franprix";"direct_debit";"credit"
269;"Invoice from Uber";4269,11;"2023-02-24 09:50:05";"Uber";"transfer";"credit"
270;"Receipt from Lidl";4965,32;"2023-04-06 07:25:31";"Lidl";"transfer";"credit"
271;"Refund from Systeme U";-1272,42;"2023-03-17 00:54:35";"Systeme U";"direct_debit";"debit"
272;"Card expense at Carrefour";-486,99;"2023-06-28 05:13:21";"Carrefour";"payment";"debit"
273;"Purchase at Air France";1483,01;"2023-01-30 04:33:25";"Air France";"payment";"credit"
274;"Subscription to Amazon.fr";2644,58;"2023-02-24 12:11:11";"Amazon.fr";"payment";"credit"
275;"Purchase at La Poste";966,98;"2023-11-19 04:42:02";"La Poste";"refund";"credit"
276;"Refund from RATP";-1454,60;"2023-05-06 09:51:30";"RATP";"transfer";"debit"
277;"Online payment";-26,51;"2024-02-27 09:25:42";"Bouygues";"payment";"debit"
278;"Invoice from Uber";3899,11;"2024-01-03 02:22:25";"Uber";"payment";"credit"
279;"Direct debit";-692,24;"2023-03-02 04:34:16";"Air France";"direct_debit";"debit"
280;"Invoice from Carrefour";-290,92;"2023-08-27 05:21:44";"Carrefour";"direct_debit";"debit"
281;"Invoice from Franprix";-233,83;"2023-06-15 14:31:48";"Franprix";"payment";"debit"
282;"Card expense at Orange";-507,21;"2023-05-20 07:05:13";"Orange";"transfer";"debit"
283;"Outgoing transfer";3440,76;"2023-08-31 13:32:32";"TotalEnergies";"direct_debit";"credit"
284;"Incoming transfer";-124,17;"2024-04-18 04:49:10";"Transilien";"transfer";"debit"
285;"Outgoing transfer";-409,16;"2024-03-12 09:14:47";"EDF";"transfer";"debit"
286;"Refund from Amazon.fr";-1274,86;"2023-10-19 22:11:15";"Amazon.fr";"refund";"debit"
287;"Direct debit";3734,70;"2023-12-09 01:35:41";"Monoprix";"refund";"credit"
288;"Online payment";-1428,77;"2023-12-23 12:24:44";"La Poste";"direct_debit";"debit"
289;"Refund from EDF";4436,78;"2023-03-17 14:21:14";"EDF";"refund";"credit"
290;"Card expense at Air France";-637,25;"2023-06-24 20:00:04";"Air France";"refund";"debit"
291;"Refund from Fnac";-1430,04;"2023-05-27 04:46:18";"Fnac";"payment";"debit"
292;"Incoming transfer";-422,70;"2023-04-15 12:10:30";"La Poste";"direct_debit";"debit"
